"Gene","logFC_12649","P_12649","logFC_21138","P_21138","logFC_53987","P_53987","MetaP","FDR","Direction","MeanLogFC"
"IGFBP6",-0.265722631664559,8.50264055370677e-06,-0.156599,0.0392014365831135,-0.292096999927166,2.31878836383603e-05,2.73532391327678e-09,3.55291223095521e-05,"Consistent",-0.238139543863908
"GFRA2",-0.152651433463047,0.0115789272703932,-0.233500741,0.00305069118566376,-0.352587964058957,2.73310493120855e-05,2.29015496514466e-07,0.000503271255263275,"Consistent",-0.246246712840668
"KCNS3",-0.184060607014713,0.00249767692191245,-0.328474158,0.00168764830035069,-0.279279320152344,0.000671785529958698,6.07063577861179e-07,0.000716831710258078,"Consistent",-0.263938028389019
"PVALB",-0.313081067769688,0.0905333099105951,-0.714581347,0.00129754304177257,-0.490262531030663,2.39599167621251e-05,6.03746768792013e-07,0.000716831710258078,"Consistent",-0.50597498193345
"TNFSF10",-0.382900753873306,1.88156991214814e-05,-0.404334645,0.0426912480977942,-0.688104054723501,0.00603254387867991,9.85689815935701e-07,0.000856957594290649,"Consistent",-0.491779817865602
"LAMB3",-0.272037274042797,0.00130024288595277,-0.334322348,0.000649399032004359,-0.263933120251139,0.00634144607586373,1.07844928836756e-06,0.000856957594290649,"Consistent",-0.290097580764646
"GNS",-0.162856577533552,0.00895043789325999,-0.228513962,0.0053227073304969,0.202461352372268,0.000132843417907606,1.25353716926032e-06,0.000856957594290649,"Mixed",-0.0629697290537615
"NEUROD6",-0.283823548140264,0.00897271757601197,-0.444788475,0.000845946133184774,-0.393632274415678,0.000573118898484814,8.94374324770577e-07,0.000856957594290649,"Consistent",-0.374081432518647
"PRKCI",0.143270174705568,0.0591746618620211,-0.148822837,0.124666066977394,-0.487076831106156,8.05078775909541e-07,1.18388000178241e-06,0.000856957594290649,"Mixed",-0.16420983113353
"NCOA2",0.222938253975407,0.0205587747543235,-0.206979761,0.0819485738192073,-0.378588956801752,4.75133592489813e-06,1.54836595198977e-06,0.000907180363421377,"Mixed",-0.120876821275448
"TRIM3",-0.171859057854369,0.00143843984239263,-0.22185075,0.00262163337946662,-0.244107171346056,0.00272712624331854,1.93895167906935e-06,0.00100740173437727,"Consistent",-0.212605659733475
"KAZN",-0.165497295190222,0.000867236349899474,-0.259397114,0.0121217199535847,-0.217017520480419,0.00103344780210123,2.03673566851837e-06,0.00101750613839943,"Consistent",-0.213970643223547
"RGS6",-0.142456549269175,0.028347855919472,-0.198927162,0.00742720968508068,-0.393322448412227,6.6604650364261e-05,2.56025996237944e-06,0.00118632899883112,"Consistent",-0.244902053227134
"ICMT",-0.12531455167184,0.00452805046459791,-0.141350224,0.0121610324053356,-0.206751829679924,0.000310644851780849,3.05853027302319e-06,0.00120767708378442,"Consistent",-0.157805535117255
"AKT3",-0.136640802031406,0.0133405789799524,-0.299616883,0.00362622182178441,-0.351891037732077,0.000366577653854676,3.15869434407565e-06,0.00120767708378442,"Consistent",-0.262716240921161
"FBXO9",-0.17807469533146,0.0930655267451364,-0.347429967,0.000816384856144303,-0.513395826155806,0.00023392368344417,3.16496304817458e-06,0.00120767708378442,"Consistent",-0.346300162829089
"EDN3",-0.203164744787156,0.00202709952984356,-0.077412893,0.442807172236048,-0.50494914607843,2.39311098668427e-05,3.74895613227942e-06,0.0012784789534265,"Consistent",-0.261842261288529
"MAP3K12",-0.0745360378170901,0.157143411850275,-0.247590689,0.000512761439754007,-0.172028825632195,0.000273743357611987,3.83868497833809e-06,0.0012784789534265,"Consistent",-0.164718517483095
"TRBV19",-0.298124403151527,0.000597492516145165,-0.257451066,0.0147525793509899,-0.418629459208963,0.00268597420148679,4.08913995167202e-06,0.0013028771614762,"Consistent",-0.324734976120163
"ETS2",-0.150030977831557,0.0282336007304152,-0.283692199,0.00960684181695013,-0.256529141132361,9.18925402540674e-05,4.2810931382809e-06,0.0013028771614762,"Consistent",-0.230084105987973
"ALG13",-0.151463353572572,0.000420226256836232,-0.221074773,0.00919992012789632,-0.214512964549119,0.00838393160055233,5.41080563026563e-06,0.00137829790680455,"Consistent",-0.195683697040564
"GAD2",-0.139803856059951,0.0200232481672506,-0.246467653,0.00187925815819357,-0.420472209103403,0.00083497766192218,5.26282688244719e-06,0.00137829790680455,"Consistent",-0.268914572721118
"MCF2",0.118352877379944,0.120050750503721,-0.389906268,0.0013331525980743,-0.333816282614324,0.00021176728866391,5.63026673073794e-06,0.00137829790680455,"Mixed",-0.201789891078126
"CRHBP",-0.388996986604329,0.00204029346986195,-0.590295043,0.000603572493734042,-0.364382878846611,0.0316016842548979,6.36731055885825e-06,0.00137841661415016,"Consistent",-0.447891636150314
"ISLR",-0.213582988766936,0.00427521914702436,-0.196598708,0.0703711000321727,-0.237998130789851,0.000127314299312154,6.2779126421155e-06,0.00137841661415016,"Consistent",-0.216059942518929
"ATP2B2",-0.325710319550816,0.0175972651583868,-0.461372004,0.00554716307170189,-0.195754413377825,0.000394881667597576,6.31342068825266e-06,0.00137841661415016,"Consistent",-0.32761224564288
"PSME3",-0.172704558463691,0.0265973842827395,-0.235388179,0.00306996257576417,-0.194952478846696,0.00045373684773285,6.09472567765367e-06,0.00137841661415016,"Consistent",-0.201015072103462
"USP33",0.236384880167249,0.0334806701763477,-0.374054829,0.00123021749212729,-0.206620275439731,0.000906844919497111,6.13900684998329e-06,0.00137841661415016,"Mixed",-0.114763408090827
"ETV5",-0.258293051289476,0.00045984374633148,-0.217907966,0.0516742516270231,-0.386767430272867,0.00187944426048422,7.19636374544361e-06,0.00142017055800834,"Consistent",-0.287656149187448
"BID",-0.26592917095835,0.00255154071340162,-0.213652125,0.00438839795894023,-0.153901153041293,0.0038381326784334,6.95475273653389e-06,0.00142017055800834,"Consistent",-0.211160816333214
"STX6",-0.138273978746075,0.00303252929286359,-0.178242376,0.0262057659808381,-0.194484176677693,0.000528689788033948,6.81625679057043e-06,0.00142017055800834,"Consistent",-0.170333510474589
"PLXDC1",-0.177770954378816,0.00314163327727996,-0.312579127,0.00274165819324997,-0.341053648537309,0.00510444770998164,7.09696068052627e-06,0.00142017055800834,"Consistent",-0.277134576638708
"NR3C1",-0.263194788421137,0.00315493183134051,-0.382119251,0.00463145542453494,-0.134365048249919,0.00333102966276208,7.76815936034686e-06,0.00150597943181411,"Consistent",-0.259893029223685
"IDH3B",-0.122610928448294,0.00101414247569961,-0.319712234,0.00259542397317829,-0.159963306321632,0.019714396934653,8.22261005337667e-06,0.00153073315437403,"Consistent",-0.200762156256642
"TGOLN2",0.217067374111718,0.0345736529158176,-0.18737235,0.0124998177013633,-0.25521912784136,0.000122453597045886,8.36723796755381e-06,0.00153073315437403,"Mixed",-0.0751747012432141
"NREP",-0.233138607191368,0.0757070289623861,-0.262398509,0.000427072396916084,-0.446115870679881,0.00163326194856137,8.35139947549865e-06,0.00153073315437403,"Consistent",-0.313884328957083
"FOLR1",-0.0579201103939981,0.41523018976354,0.32507864285463,0.00216108310140686,-0.737078098791732,6.50315090439871e-05,9.12566333997634e-06,0.00157007106162635,"Mixed",-0.1566398554437
"GOSR2",-0.166423864855711,0.000491929451954329,-0.178165579,0.0332522319119901,0.311975247871073,0.00384479005802498,9.75209255957405e-06,0.00160643309766431,"Mixed",-0.010871398661546
"MRPL4",-0.180296161079727,0.000716230245027999,-0.243473265,0.0538941375408349,-0.163526226731925,0.00166138780847651,9.92215400970707e-06,0.00161098573040106,"Consistent",-0.195765217603884
"PTPRO",0.107662178565561,0.43495858375085,-0.413151738,0.0120071301762933,0.262169476292815,1.25990741324413e-05,1.01507642055969e-05,0.00162775649711727,"Mixed",-0.0144400277138747
"TESC",-0.174144089661724,0.0205014047301325,-0.180753409,0.0245029933151177,-0.268531783592842,0.000135031425216523,1.04281534337069e-05,0.00163194319217372,"Consistent",-0.207809760751522
"LANCL1",-0.175025432223972,0.0822273497758745,-0.427381977,0.00501803877408768,-0.356219059257979,0.00016868682905241,1.06690478301921e-05,0.00164976502698053,"Consistent",-0.31954215616065
"ENSA",-0.207572713518605,0.0537359419405774,-0.19372829,0.00204962287712906,-0.195825282793711,0.000708833598071022,1.18106440342296e-05,0.00176331557885757,"Consistent",-0.199042095437439
"INPP4A",-0.21142065005754,0.0743899631253784,-0.254454381,0.00692834567465641,-0.342039598667094,0.000156296567963472,1.21428347765378e-05,0.00178534012650667,"Consistent",-0.269304876574878
"SYNDIG1",-0.0899708987551922,0.203410925580942,-0.266397675,0.00322516689640849,-0.21476663932026,0.000123822599712513,1.22330642281233e-05,0.00178534012650667,"Consistent",-0.190378404358484
"MAPK9",-0.226141425917382,0.0737642774737335,-0.256978056,0.00203614295475623,-0.316991320273343,0.000664279603023417,1.4671737796116e-05,0.00200145512477109,"Consistent",-0.266703600730242
"ARHGEF2",-0.0762885769830239,0.116348229272584,-0.193416153,0.00311937467914058,-0.238782338130034,0.0002714451770101,1.45085942228721e-05,0.00200145512477109,"Consistent",-0.169495689371019
"AP1S2",-0.106403231623846,0.203116257239105,-0.253718953,0.00233385765637973,-0.328473304957692,0.000205918329290655,1.43911211486761e-05,0.00200145512477109,"Consistent",-0.229531829860512
"DEF8",-0.157243438750663,0.0197174138097415,-0.2143419,0.00256826379527249,-0.191424718703411,0.00210594411594013,1.55610156476274e-05,0.00202181877352696,"Consistent",-0.187670019151358
"MAGI2",0.199077661110289,0.000957944729433243,0.116752687549826,0.218084872008266,-0.31824709274923,0.000540591759434515,1.63689947929735e-05,0.00204212715266516,"Mixed",-0.000805581363038298
"IDE",0.0928167894738978,0.0376188341943629,-0.27449864,0.000551773009626358,-0.199355913814094,0.0055180747944083,1.65738056756728e-05,0.00204212715266516,"Mixed",-0.127012588113399
"CDS1",-0.109168226300727,0.0464262361740132,-0.306261788,0.000188430711857248,-0.134597954564454,0.0131013550586545,1.6583172832568e-05,0.00204212715266516,"Consistent",-0.183342656288393
"NOS1",-0.102029895901048,0.022297900827655,-0.218715979,0.00122788338934159,-0.220636448719087,0.0043858814552264,1.72796409294875e-05,0.00209761921526274,"Consistent",-0.180460774540045
"SNCA",0.125418403084912,0.0117953317266504,-0.450956718,0.00292437544306185,-0.197570988891608,0.00352847971706698,1.74863249637883e-05,0.00210305439772821,"Mixed",-0.174369767935565
"ABI2",-0.209047695347815,0.0102983376777725,-0.270065464,0.00521203293103866,-0.232349424012073,0.0023768071843609,1.82274288266419e-05,0.00215232793662956,"Consistent",-0.237154194453296
"RAP2A",0.144644365628565,0.0223239742768811,-0.190722189,0.00528826790974592,-0.228213140226631,0.00116237460071537,1.94375091233695e-05,0.00225423041074506,"Mixed",-0.0914303211993551
"ARL4D",-0.160332063509875,0.000883608366419806,-0.095279323,0.17257814165548,-0.267706933146583,0.00092479553089173,1.99109928550275e-05,0.00228870695746861,"Consistent",-0.174439439885486
"HAPLN1",-0.175040549128984,0.00957761745786443,-0.217953704,0.00741468639241524,-0.186129201603867,0.00221350410963115,2.19085495048974e-05,0.00241835859137219,"Consistent",-0.193041151577617
"TRMT9B",-0.0294784546707545,0.577950017714278,-0.456239008,7.26498387026062e-05,-0.346129339800157,0.00374537717957189,2.19169848858907e-05,0.00241835859137219,"Consistent",-0.277282267490304
"CAP2",0.247736224407827,0.0700870922255429,-0.30863075,0.0155993696286916,-0.269251843358672,0.000150866322710239,2.28568763231698e-05,0.00246216128607831,"Mixed",-0.110048789650282
"FABP3",-0.0571867636396073,0.61206798904368,-0.356089313,0.00459767908212194,-0.355436671278795,5.88456046400436e-05,2.29364474259355e-05,0.00246216128607831,"Consistent",-0.256237582639468
"ADAM22",-0.100672875477742,0.0124482458424428,-0.141147091,0.00206680166797329,-0.200070165090583,0.00712082198320347,2.50686559339344e-05,0.00262594170907962,"Consistent",-0.147296710522775
"NOLC1",-0.200418225014636,0.00153356190970107,-0.373791907,0.0057323915123655,-0.213249897440527,0.022094591666297,2.63905353660872e-05,0.00266218849051354,"Consistent",-0.262486676485054
"PINK1",-0.151429834134941,0.0104938756696416,-0.233397757,0.0045185068551593,-0.183150188727911,0.00410494879081602,2.64394730368963e-05,0.00266218849051354,"Consistent",-0.189325926620951
"B4GALT6",-0.164628764765069,0.2810197192697,-0.489867384,0.00284593040904665,-0.446215149912558,0.000248744542554811,2.69513394877118e-05,0.0026722973176022,"Consistent",-0.366903766225876
"RABIF",-0.103018582305152,0.0763728622096094,-0.272715303,0.00722922354069838,-0.263462801749887,0.000371066171359307,2.76565515877649e-05,0.00271635731245932,"Consistent",-0.21306556235168
"RAB6A",-0.1461764829131,0.0995161222613694,-0.663853095,0.00477345499875818,-0.276110861552614,0.000434071771161521,2.78139597010616e-05,0.00271635731245932,"Consistent",-0.362046813155238
"HTR1F",-0.0278452609659352,0.638876216004853,-0.213695464,4.51333193214097e-05,-0.206300434763214,0.00771773182351671,2.97402380931496e-05,0.00288280561635761,"Consistent",-0.149280386576383
"NADK",-0.20051779098218,0.000429811711784196,-0.070196669,0.300641691788098,0.138027168489296,0.00177916878925609,3.06025056565398e-05,0.00290143026257515,"Mixed",-0.0442290971642945
"SCAMP1",0.185768912650514,0.0103229888219839,-0.216496264,0.00435875274518443,-0.371371609838445,0.00546519286268329,3.24640126192621e-05,0.00294541806373024,"Mixed",-0.134032987062644
"SRP72",-0.156235707507697,0.0133500393863464,-0.342171283,0.0202293339080693,-0.248831355480976,0.000916632421551308,3.26537994593237e-05,0.00294541806373024,"Consistent",-0.249079448662891
"G3BP2",-0.282512042380678,0.109804011158243,-0.600774009,0.0146614009943853,-0.612095005162354,0.000153696348404797,3.26404730041717e-05,0.00294541806373024,"Consistent",-0.498460352181011
"STS",-0.270028294595754,0.000597439133440612,-0.331174127,0.0194871032326096,-0.258173856055289,0.0223775260771768,3.41503779523797e-05,0.00303821410427027,"Consistent",-0.286458759217014
"DR1",-0.172989206341478,0.00462838386128466,-0.116558714,0.00995359850784889,-0.208659054773036,0.00585562495609539,3.52093454872004e-05,0.00306434104124167,"Consistent",-0.166068991704838
"ARL4C",-0.0624914324154719,0.132440327424715,-0.357894095,0.00226998415933694,-0.32332218372135,0.000909361465515643,3.56236428691579e-05,0.00306434104124167,"Consistent",-0.247902570378941
"ERCC1",-0.157733971777873,0.00212000799768506,-0.162586851,0.0132689357735181,-0.149186629876707,0.0110602874472387,3.98957446575546e-05,0.00327978371744922,"Consistent",-0.156502484218193
"ATP6V0A1",-0.111764201961662,0.449178786989312,-0.53686652,0.00501477054420579,-0.346598821306886,0.000140361748296728,4.04608783513037e-05,0.00330532294908857,"Consistent",-0.331743181089516
"ISCA1",-0.207251251997583,0.0162563692749251,-0.348143274,0.00336181673988858,-0.233414267920161,0.00588711542203294,4.10837406803873e-05,0.00331451371240714,"Consistent",-0.262936264639248
"ATG5",-0.23677606723821,0.0127653436266595,-0.481078561,0.00392861920274681,-0.341223005724157,0.00676259841953665,4.30222017928709e-05,0.00342831520912638,"Consistent",-0.353025877987456
"ABHD6",-0.153503255608019,0.0267909596684719,-0.15694792,0.00834587545506735,-0.310815201750173,0.00159503124094757,4.49566917983962e-05,0.00351772572150221,"Consistent",-0.207088792452731
"EIF3K",-0.127967468826188,0.0255124199977416,-0.191790592,0.004021078714357,-0.148394340860177,0.00368387967557826,4.72927685215763e-05,0.00354197724913379,"Consistent",-0.156050800562122
"ZNF576",-0.0889356222296733,0.0362249980000301,-0.167581547,0.00364222312919052,-0.19875919913602,0.00282095436871246,4.66661503393726e-05,0.00354197724913379,"Consistent",-0.151758789455231
"GAS7",0.155962172865994,0.0416373345696045,-0.636001296,0.00803934875179934,-0.493406260591917,0.00112366150917026,4.70971121838083e-05,0.00354197724913379,"Mixed",-0.324481794575308
"PPM1A",-0.125027917991693,0.0534248033033486,-0.228476519,0.00355553256230685,-0.160117203254575,0.00196290541406552,4.67390785021936e-05,0.00354197724913379,"Consistent",-0.171207213415423
"FOXG1",-0.100705693068233,0.0889081881469099,-0.168699015,0.0084073410944201,-0.201706670191165,0.000509704341070686,4.76288090548362e-05,0.00354197724913379,"Consistent",-0.157037126086466
"CUL4B",-0.129854621419995,0.0975826618537398,-0.258986585,0.0312671993882555,-0.391583305655638,0.000121303743606467,4.64380239131285e-05,0.00354197724913379,"Consistent",-0.260141504025211
"CGGBP1",-0.0813251554974137,0.234181665909058,-0.207004411,0.0210419026549476,-0.313386166611918,7.96869317786572e-05,4.89012508433295e-05,0.00360896788184095,"Consistent",-0.200571911036444
"ARIH2",-0.152273008556275,0.000573244164188209,-0.096194513,0.201455709729729,-0.196663093934188,0.00350310795722271,5.01913231371678e-05,0.00363230617550085,"Consistent",-0.148376871830154
"STK24",-0.103578855239645,0.114735739988202,-0.258247,0.003749705814767,-0.197874164181464,0.000944612108313714,5.03912144130469e-05,0.00363230617550085,"Consistent",-0.18656667314037
"ST3GAL6",-0.124630877751292,0.0696764226149035,-0.397385458,0.000444039052294464,-0.188752476157261,0.0134907249753321,5.15794976465122e-05,0.00367190605933084,"Consistent",-0.236922937302851
"NDRG3",-0.241047591914628,0.163940835945086,-0.253734929,0.000871067255393715,-0.12330604441529,0.00296321328029216,5.22010949322798e-05,0.00367190605933084,"Consistent",-0.206029521776639
"MTUS2",0.103972721686604,0.177221660676855,-0.250154096,0.0116475743246269,-0.226577935630988,0.000205534116894895,5.23202622244745e-05,0.00367190605933084,"Mixed",-0.124253103314795
"ARL2BP",-0.0786616683318844,0.219681387237257,-0.165517128,0.00212207695578375,-0.159733381792826,0.000915282347355771,5.25809936897018e-05,0.00367190605933084,"Consistent",-0.134637392708237
"TOLLIP",-0.18270400208032,0.188616203368117,-0.341469953,0.00788664241992634,-0.229247328276513,0.000295715792103807,5.39983564172471e-05,0.00373076942289161,"Consistent",-0.251140427785611
"KCNK1",-0.251578815807604,0.128466919600477,-0.451840125,0.00739893775782611,-0.388541786174507,0.000471808647108234,5.4915281682506e-05,0.00375303515291343,"Consistent",-0.363986908994037
"NDUFAF4",-0.0926035522985664,0.310988065694708,-0.277854003,0.00171142235245802,-0.161647162578777,0.000869951042835223,5.64666100398534e-05,0.00382002498858154,"Consistent",-0.177368239292448
"PPP6R2",-0.0884722393448545,0.0678024242058623,-0.084848561,0.0284404214232517,-0.160062133274738,0.000243832640533247,5.72288868705266e-05,0.00384038007045979,"Consistent",-0.111127644539864
"GRIA4",-0.120483803447251,0.078437392431696,-0.241174472,0.00125647197724791,-0.251008038647393,0.00478328819659651,5.73588215928246e-05,0.00384038007045979,"Consistent",-0.204222104698215
"ATP6V1A",0.0983086274837515,0.364544573457176,-0.310885627,0.00425135899768323,-0.597313082608441,0.000307641949530047,5.792843382972e-05,0.00385862783084222,"Mixed",-0.26996336070823
"TPM4",-0.198510940933904,0.00143587671273105,0.355206485061289,0.0400763687481508,-0.228497480581096,0.00834085572090902,5.82657791448417e-05,0.00386089632883151,"Mixed",-0.0239339788179035
"PIK3CB",-0.0806699615289839,0.0440229212319004,-0.191899015,0.0186650806095835,-0.382065619948039,0.000594426985252597,5.91604921421228e-05,0.00388098804259613,"Consistent",-0.218211532159008
"PPP1R17",-0.139594971446125,0.00583844276788251,-0.17660019,0.0374708301446523,-0.245356601686893,0.00227161702774108,6.00600050767977e-05,0.00392019801981168,"Consistent",-0.187183921044339
"KAT5",-0.112997495154003,0.00887899268486173,-0.129410411,0.0297392683793552,-0.141203428497643,0.00191384500730865,6.09433291291449e-05,0.00394776223877372,"Consistent",-0.127870444883882
"DCAF6",0.115456392864498,0.372604954803774,-0.270569205,0.0324664159746798,-0.27041057098616,4.18906463803813e-05,6.10901693735866e-05,0.00394776223877372,"Mixed",-0.14184112770722
"CDK5R1",0.393445924900304,0.00814700907331256,-0.170497395,0.0830764467269166,-0.285925785792314,0.00079462662749621,6.43402728930146e-05,0.0040780074829314,"Mixed",-0.02099241863067
"COPA",-0.231733272090638,0.0379160324727738,-0.147529689,0.0360637247991515,-0.303842502960205,0.000393468752043892,6.43615008084484e-05,0.0040780074829314,"Consistent",-0.227701821350281
"DUSP6",-0.324028341621589,0.000673586207935157,-0.207228989,0.201276751860534,-0.424935830746065,0.00428330428903955,6.87857881657221e-05,0.00417995587790919,"Consistent",-0.318731053789218
"SOX4",-0.155186630755646,0.00111433495747456,0.198480528385363,0.018895711919925,-0.198283996715333,0.0285483236534746,7.08836754608292e-05,0.00417995587790919,"Mixed",-0.0516633663618723
"FNDC4",-0.150887084423587,0.0015685272373433,-0.148805936,0.0358704249621688,-0.136846815665523,0.0103235120232401,6.8798240353775e-05,0.00417995587790919,"Consistent",-0.14551327869637
"GLIPR1",-0.273808463256501,0.00856093218962745,-0.591759888,0.00480776227634088,-0.209477424847751,0.0144018673524057,7.00259183453434e-05,0.00417995587790919,"Consistent",-0.358348592034751
"RAB2A",0.229069177893884,0.0279772238285487,-0.21716949,0.023842098837065,-0.2792137989567,0.000878354933713029,6.9319006569124e-05,0.00417995587790919,"Mixed",-0.0891047036876056
"RAD21",0.304737068876989,0.0360756945901391,-0.119469784,0.213224636869693,-0.377414951092533,7.74897783368998e-05,7.03653778630539e-05,0.00417995587790919,"Mixed",-0.0640492220718479
"ILRUN",-0.165477103053213,0.0672550150977377,-0.190846835,0.0136395982146831,-0.302962221658585,0.0006578235661447,7.11220785805476e-05,0.00417995587790919,"Consistent",-0.219762053237266
"GRK3",0.103569646582001,0.101765078691543,-0.20831188,0.0256390653432065,-0.284053502398018,0.000230953124812121,7.10350955796613e-05,0.00417995587790919,"Mixed",-0.129598578605339
"CNTNAP2",-0.117671791042271,0.103957262866128,-0.238356963,0.0275581320577587,-0.724526476023837,0.00021281873572961,7.17630426340557e-05,0.00417995587790919,"Consistent",-0.360185076688703
"DUSP3",-0.24732128040247,0.00587028254637062,-0.466689705,0.0134821820549915,-0.236396296851309,0.00775318848599583,7.21644923655255e-05,0.00418457406846344,"Consistent",-0.316802427417926
"OSBPL3",-0.166622947906196,0.00332128727490577,-0.2518361,0.0200551038726288,-0.226237995389373,0.00958415947927792,7.46913220469631e-05,0.00427385718972689,"Consistent",-0.214899014431856
"HSP90B1",-0.143739773960281,0.0499323695172617,-0.140283866,0.208622753080174,0.23378688336515,6.09373090290184e-05,7.43245923293966e-05,0.00427385718972689,"Mixed",-0.0167455855317102
"BLTP1",-0.150293261423909,0.0794864530694987,-0.13428056,0.0875321634321573,-0.483483736309124,9.14182524178635e-05,7.4453666205584e-05,0.00427385718972689,"Consistent",-0.256019185911011
"ACLY",-0.119554458415741,0.02599236761849,-0.432790008,0.00395166716811819,-0.156927594591584,0.00634447744509273,7.60396512377315e-05,0.0043319255698548,"Consistent",-0.236424020335775
"UBE2N",-0.21442283650749,0.037610714867951,-0.196425028,0.00419446495134026,-0.144741524052172,0.00419414161484767,7.70522739998539e-05,0.00435144342167001,"Consistent",-0.185196462853221
"SULF1",-0.175678568545564,0.00322107606239303,-0.366669334,0.00289799405316513,-0.145163158107101,0.0766897234942144,8.25097909144823e-05,0.00450302384112693,"Consistent",-0.229170353550888
"RBL2",0.122805102953486,0.0139315202309658,0.15503060172277,0.0926959454660099,-0.308352248598527,0.000552902562969739,8.23238974506194e-05,0.00450302384112693,"Mixed",-0.0101721813074235
"GTF2H1",-0.15839684463001,0.0763355606924202,-0.339648092,0.0132647292361684,-0.292814993906383,0.00069794898741268,8.15929870797576e-05,0.00450302384112693,"Consistent",-0.263619976845464
"CACNB1",-0.213854567249279,0.00256600720193303,-0.23212985,0.00612822364334732,-0.155196742295638,0.0481423180660827,8.66146862274338e-05,0.00452001907999893,"Consistent",-0.200393719848306
"SEL1L",-0.174745934417463,0.00416182748285218,-0.184133408,0.0410055309428035,-0.198173296406225,0.00445774132151708,8.69828154496539e-05,0.00452001907999893,"Consistent",-0.18568421294123
"RARB",-0.130197861368157,0.0148929023571164,-0.189912868,0.0338534189366083,-0.316349425966489,0.00148667063620391,8.58694749742491e-05,0.00452001907999893,"Consistent",-0.212153385111549
"ATF2",0.190160216126391,0.0533255010361753,-0.357266617,0.0600818403194064,-0.37282747627486,0.000235925529082866,8.64993963543807e-05,0.00452001907999893,"Mixed",-0.17997795904949
"MSL3",-0.0960165949502105,0.0613298697034437,-0.190513871,0.0069010009007281,-0.139508816228295,0.00179159229107528,8.67366239401362e-05,0.00452001907999893,"Consistent",-0.142013094059502
"NAV3",0.125361959806131,0.0624098436365183,-0.466091204,0.0193667439262284,-0.434070901432405,0.000611642214673231,8.48474146948903e-05,0.00452001907999893,"Mixed",-0.258266715208758
"CNKSR2",0.244112201265564,0.0868332242614928,-0.526410448,0.004874332850855,-0.362209372117309,0.00171648297112881,8.35734174581109e-05,0.00452001907999893,"Mixed",-0.214835872950582
"CAB39L",-0.108587952772459,0.124059206839747,-0.229347767,0.0133364349992936,-0.553875042269379,0.000436862259912384,8.32020128139208e-05,0.00452001907999893,"Consistent",-0.297270254013946
"SNAP25",0.211002676510594,0.128666984239015,-0.590263006,0.00402629271661151,-0.29399820537644,0.00146850652234226,8.69840273282339e-05,0.00452001907999893,"Mixed",-0.224419511621949
"NDUFB2",-0.161285016273693,0.012734640637458,-0.197592537,0.0022434728068407,-0.173979778285201,0.0267835013854338,8.74243754130565e-05,0.00452412435155455,"Consistent",-0.177619110519631
"RAP2B",0.146866044071881,0.00545291574659978,-0.352774348,0.0805486880517801,-0.356549838937201,0.00180964363694937,9.03558456172225e-05,0.0045316046944494,"Mixed",-0.187486047621773
"TOMM22",-0.196072296886818,0.00736061411339054,-0.183667022,0.0384891600827093,-0.223419217125084,0.00282499418871864,9.08971366661426e-05,0.0045316046944494,"Consistent",-0.201052845337301
"GAD1",-0.388696000957009,0.0443101775512827,-0.605525587,0.00480824710842492,-0.570453857477097,0.00380446725541311,9.19038831972336e-05,0.0045316046944494,"Consistent",-0.521558481811369
"MAP2K4",-0.315900332573582,0.0925968833591181,-0.699380728,0.00345547234112854,-0.128699367794574,0.00241877206915476,8.828890579751e-05,0.0045316046944494,"Consistent",-0.381326809456052
"RPS6KA3",-0.13343570480459,0.113835937389219,-0.369182097,0.00342139592526249,-0.231032811435655,0.00200708906096164,8.9059814234439e-05,0.0045316046944494,"Consistent",-0.244550204413415
"GNB1",-0.126514089212439,0.374358237067015,-0.120974863,0.00154071372461897,-0.303887656260168,0.00141188505884565,9.22762831099627e-05,0.0045316046944494,"Consistent",-0.183792202824202
"NDRG4",-0.0368241261783506,0.753400230883383,-0.306570008,0.0022783539446437,-0.184189698968879,0.000462248367305888,9.02191180527995e-05,0.0045316046944494,"Consistent",-0.175861277715743
"PROM1",-0.23427336911196,0.00402722561323337,-0.079998088,0.556209018612581,-0.452304804002702,0.000366814043240607,9.29943780039563e-05,0.00454099239057665,"Consistent",-0.255525420371554
"LBH",-0.225167873770897,0.00197174061085055,-0.234341461,0.0209199310062174,-0.200276583242764,0.0204622993615747,9.51878127420047e-05,0.00461341231233544,"Consistent",-0.219928639337887
"TESPA1",0.0757617732033316,0.296610831035588,-0.408280912,0.00348623730618417,-0.287288240545372,0.000821531672183191,9.57221652822878e-05,0.00462206395855627,"Mixed",-0.20660245978068
"TMPO",-0.141202642601605,0.036138717477552,-0.185766686,0.0343355852240511,-0.30438293190965,0.00068788818869373,9.61179524322809e-05,0.00462398549682554,"Consistent",-0.210450753503752
"ADAM11",-0.138108857222526,0.026827622699953,-0.093056269,0.231727670517905,-0.224921156835193,0.000138394070849202,9.67807880968033e-05,0.0046386924597394,"Consistent",-0.15202876101924
"NUDT4",-0.28197149491838,0.00371486153647978,-0.239907968,0.0511308621507046,-0.306334303959197,0.00460466949553464,9.8171282866486e-05,0.00468803968070877,"Consistent",-0.276071255625859
"OXR1",0.147067181998388,0.390027581301328,-0.460469493,0.00924353325049627,-0.323355803455645,0.000245563604208454,9.92098934654776e-05,0.00472028317297835,"Mixed",-0.212252704819086
